Data_de_Nascimento;Sexo;Renda_Familiar;Recebe_Auxilio;Q_Reprovacoes
24/11/1997;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;1
21/08/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;8
14/03/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);5
22/02/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;8
08/07/1997;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;9
14/06/1999;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
17/03/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO MORADIA;25
18/12/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
02/12/1989;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;15
08/06/1992;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
24/03/1999;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
07/09/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
02/12/1999;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
09/05/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA APOIO AO ESPORTE;
22/10/1998;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
11/05/1998;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
09/10/1990;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
22/01/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
03/09/1997;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
08/05/1992;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
22/09/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;7
18/03/1995;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;4
11/12/1994;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;3
15/03/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);BOLSA APOIO AO ESPORTE;7
27/07/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;21
15/04/1991;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
17/12/1998;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO MORADIA;
12/06/1996;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;4
06/12/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
23/04/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);
13/10/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
06/12/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;3
15/02/1992;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;2
08/09/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;8
05/11/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;8
16/01/1993;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;16
04/07/1994;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
08/07/1989;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;12
01/07/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
17/01/1996;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO ALIMENTAÇÃO (EXCETO MOSSORÓ);1
21/06/1989;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
23/05/1984;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
23/04/1993;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;5
05/11/1987;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
03/06/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
07/08/1991;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
01/07/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
28/06/1990;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;2
24/05/1995;M;Renda familiar de 10 a 20 Salários Mínimos - (6.780,00 a 13.560,00);;
19/04/1995;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
20/05/1990;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;17
14/11/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;
30/03/1999;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
01/01/1996;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);AUXÍLIO MORADIA;6
17/02/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;15
02/12/1990;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
01/09/1991;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;2
14/01/1987;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;7
25/06/1998;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;2
20/11/1971;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;6
26/10/1994;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);BOLSA PERMANÊNCIA ACADÊMICA;9
29/05/1997;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
28/01/1997;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO DIDÁTICO-PEDAGÓGICO;
27/11/1991;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;17
10/07/1992;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;10
23/12/1996;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;5
31/12/1993;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
03/04/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;15
27/08/1984;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;9
24/11/1990;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;4
27/09/1990;M;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;23
13/04/1992;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;27
06/04/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;14
20/08/1995;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;6
21/06/1997;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);AUXÍLIO AO PORTADOR DE NEC. ESPECIAIS;
10/02/1995;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;23
17/07/1990;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;6
18/09/1994;M;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;
10/02/1984;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
02/04/1994;F;Renda familiar de 2 a 4 Salários Mínimos - (1.356,00 a 2.712,00);;1
28/05/1997;F;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;4
15/06/1999;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;
02/04/1989;F;Renda familiar de até 2 Salários Mínimos - (Até 1.356,00);;4
15/12/1996;M;Renda familiar de 4 a 10 Salários Mínimos - (2.712,00 a 6.780,00);;
